,text
0,"Political alignment powers cooperation across South America’s lithium triangle @jayfranklinlive 

https://t.co/jKH3nrQOZA"
1,"RT @akaMisterJayEm: @chicagobars @ChicagoParks ""Jean Baptiste Pointe du Sable Lakeshore Drive to Center"""
2,RT @mateovonchicago: @chicagobars @ChicagoParks City Rats and this is our logo https://t.co/XAVJ1JYQNR
3,"After a parent points me to the beer cooler at a kid's birthday party

https://t.co/gcRXNOdz2g"
4,"Great to see @NachosAndLager bring his passions to the indy wrestling scene. Next stop WWE.

https://t.co/YMwHDYbQ8w"
5,In some personal news I just accidentally ate several pieces of pizza that had pineapple on it. Your thoughts and prayers at this difficult time are appreciated.
6,"Perfectly paired... @BellsBrewery Wild One with Lobster/Crab roll served on seasonly toasted Challah Bread with a side of Cumin Crinkled Fries.

This Girl Can Cook....😋 https://t.co/pdXxqAVaby"
7,"RT @CityLab: ""It's not just an informal group of cyclists — it's a public transportation system based on bicycles."" https://t.co/7jUR5ndBu9…"
8,RT @sarahsholder: krill windows krill windows krill 🦐 windows 🪟!!! https://t.co/pQKN2r936e
9,RT @DougDennis41: Undisclosed location https://t.co/bag4r6LirS
10,"You’re captain of a @ChicagoParks 16” softball team. What’s your team name? 

It’s gotta’ be better than most these team names I just spotted on a park bulletin board. https://t.co/jTqQQcj85b"
11,"“Fate does not make mistakes”
~ DR. FATE 
Played by the one and only @PierceBrosnan 
 #BlackAdam
OCTOBER 21st 🌍 https://t.co/BfYsbwnLK9"
12,I just earned the 'Haze for Days (Level 42)' badge on @untappd! https://t.co/HMlpvlJyz2
13,Drinking an Experimental IPA #1: HBC 586 + El Dorado by @greatdividebrew @ Untappd at Home — https://t.co/GP5nz7WkBb
14,"Thank you!!
Wait til you see our movie on @IMAX 
#BlackAdam 
October 21st 🌍 https://t.co/zOKBKLwegW"
15,#BlackAdam https://t.co/MW5HuGSODZ
16,"Thank you man. 
Our teams are ready to go. 
#BlackAdam https://t.co/1hVF3dznvY"
17,"We’re gonna go wild tomorrow…tune-in to the @MTV #VMAs Sunday, August 28th at 8pm ET/PT to find out why 👀🎤 https://t.co/usOLjZBbM0"
18,"Live look from inside our fridge

📸 rubenriverab on IG https://t.co/vo5ccQW9UC"
19,"The Man in Black &amp; the JSA. 
#Hawkman
#Cyclone
#AtomSmasher
#DrFate 
#BlackAdam 
OCTOBER 21st 🌍 https://t.co/khjSKh5zRA"
20,"Good eye Austin that you would catch my whispering to Paul. I said to him what I say to everyone I did this crazy, dangerous shit with 🤣💀
I made sure he was ok and I thanked him. Loved working with @HeymanHustle. We shared a love and passion for our wild world of pro wrestling. https://t.co/kwRLUNr0U0"
21,"RT @mikesell_dave: ⁦@chicagobars⁩ Having a cold one at an undisclosed department store on the Mag Mile that rhymes with ""Fordstrom""... http…"
22,Rare YIMBY lawn sign https://t.co/PErRaobkOY
23,"Congrats to Maine's @Blueoxmalthouse which was recently awarded a $500,000 grant in the state's Jobs &amp; Recovery Plan to help farmers and food processors address infrastructure needs. Blue Ox plans to use the grant to expand its processing capacity. https://t.co/XALRdC2tL2 https://t.co/TI9tFcNSa7"
24,Undisclosed location. Drinking beer. On a Chicago day as pretty as that Chicago tavern ceiling. https://t.co/JaLVA28q0Z
25,Lololol. #GoCatsGo https://t.co/n3MXgun8uj
26,"“Are you a big Northwestern guy?”
“No. I just find it hysterical that they beat Nebraska today.”
#GoCats"
27,Lol. The longest flight in the history of aviation will be the Nebraska team charter back from Dublin after losing to @NUFBFamily despite being 13 point favorites. https://t.co/14jDxlhzxR
28,"Pete Zah: Lover in the kitchen, killer in the ring. https://t.co/IjQVCAdfxn"
29,"RT @JohnAmdor: @chicagobars @NUFBFamily @Beermiscuous Husker fans there at least have the means to cope.

https://t.co/a9qW49jsEy"
30,Lol. Nebraska calling timeouts to prevent @NUFBFamily from running out the clock with a 3 point NU lead. The Wildcat fans at @Beermiscuous must have the place up for grabs.
31,It’s all about those Schilling Summer Feels &gt;&gt;&gt; https://t.co/86dHSw0c7Z
32,does indeed taste exactly like @Wawa peach tea. shoutout to @melinkin20 for holding onto one for me #beachfriendsarethebestfriends https://t.co/f2UimTGazP
33,"“The Republican candidate designs, codes and updates his website himself … his recent updates to the abortion section reflect his desire to use his policy section as a ‘living document’ rather than an immutable record of his positions” is some massively unseemly shit. https://t.co/sQ0orTKKZJ"
34,This view...refreshing! https://t.co/6I8tHh3t5w
35,Retail adjacency that slaps https://t.co/Gfo3BrUkkh
36,"A group that’s very hungry, motivated and inspired to deliver to the world and usher in our 
#BlackAdam https://t.co/5ceatDYG0H"
37,"*grandpa simpson voice*

STOP MAKING NOSTALGIC HITS THAT I GRUDGINGLY ENJOY"
38,"Since its founding, Narragansett has shapeshifted, rising and falling in popularity. In this Unrated piece, @matthewmosgood traces its story, including its present-day revival. https://t.co/a7boz3yNvV https://t.co/2LiSpDUmGl"
39,Dragon Boat races are really fun to watch from a canoe. https://t.co/lykC1hkPVj
40,"Strange thing about pop music in 2022 is it seems designed to appeal more to older people than the young.

It’s all mash-ups with older hits (Dua Lipa), 1980s homages (The Weeknd, recent Bieber) or whatever Harry Styles is doing (a less-edgy Sting?). I mean, I’m not complaining!"
41,"The 19 th hole Sponsored by
COCO COCKTAIL
THE Better For You Alcohol!
#cocococktail #cocktails #wine #19thhole #golf #travel #vacation https://t.co/f9gBKkO2B1"
42,RT @MaggiesFarmRum: This is true. Keep finding other things you like more. Try to make yours better (but don't lose your direction in the p…
43,"Shop the P&amp;P store! Prints, cards, pins, shirts, stickers, glassware and more! https://t.co/V7Q6V9hvZU https://t.co/lKhS7JWQZ6"
44,An emotional support Eagle? https://t.co/esyRzTDb5u
45,"In case of emergency, always bring your epi-pain https://t.co/CeJ0Fv5yCS"
46,Taming the Wildflowers — The Beautiful and Distinctive House Yeasts of British Brewing by @itsNeilWalker https://t.co/dZMrLOG5Vb https://t.co/SCiZHEoWLB
47,"@beerinator @jalaffler Manneken Pis had too much of an ego and went solo, leaving the other three behind."
48,RT @markmobility: Reminder that Curt Schilling defaulted on a $75 million dollar loan from the state of Rhode Island. https://t.co/o5QJH5RY…
49,"I'm gonna out on a limb here... Oh, hey - a bird's nest!"
50,"Such a dope article....I am here for all of this . 
https://t.co/vEBfaM92PN"
51,"Cold beverage to start the morning 
Hot beverage to end the night"
52,RT @PeteBrownBeer: When do we start rioting?
53,RT @bbk323: ⁦@chicagobars⁩ too early for an undisclosed location? https://t.co/PREMsY4V2h
54,"RT @BusinessInsider: The history of Amazon and Whole Foods' sometimes-rocky marriage, which kicked off 5 years ago with a $13.7 billion acq…"
55,"It's hard to be friends with kleptomaniacs because they take things, literally. https://t.co/wio3w8YuJq"
56,"RT @MktsInsider: Retail investors are incurring billions in hidden costs using 'free' brokerages, study says https://t.co/3oSd3vbblp"
57,"RT @InsiderLife: My wife has filled our house with stuff, and I think she has a shopping addiction. How do I get her to stop? https://t.co/…"
